id,item_id,name,name_kana,name_en,item_kind,slot,accessory_type,inheritance_from_accessory_id,inheritance_type,inheritance_note,equip_level,weight,attack,defense,max_hp,max_mp,charm,agility,dexterity,magic_attack,healing_power,description,effects_json,synthesis_effects_json,obtain_methods_json,image_url,source_url,detail_url,created_at,updated_at
1,accessory_kao_1,海魔の眼甲,かいまのがんこう,Nacreous Necromonocle,accessory,顔アクセサリー,顔,,第一世代,,,,,2,,,2,,0,,,ドラゴンビートが たまに発動する 荒々しい仮面,"[{""note"": null, ""text"": ""魔物を倒すと25%でためる"", ""recommended"": false}]","[{""note"": null, ""text"": ""魔物を倒すと2％でためる"", ""recommended"": false}, {""note"": null, ""text"": ""魔物を倒すと3％でためる"", ""recommended"": false}, {""note"": null, ""text"": ""魔物を倒すと5％でためる"", ""recommended"": true}, {""note"": null, ""text"": ""さいだいHP+2"", ""recommended"": true}]","[{""note"": null, ""text"": ""グラコス討伐報酬""}, {""note"": null, ""text"": ""銀のフェザーチップ4枚""}, {""note"": null, ""text"": ""すごろくの報酬""}]",/storage/images/accessories/1-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-2.php,2026-03-12 12:57:09,2026-07-15 06:56:24
2,accessory_kao_2,機神の眼甲,きしんのがんこう,Mechanical Eye,accessory,顔アクセサリー,顔,1,第二世代,,,,,2,2,,2,,,,,ドラゴンビートが 発動しやすい メカニカルな仮面,"[{""note"": null, ""text"": ""魔物を倒すと35%でためる"", ""recommended"": false}]","[{""note"": null, ""text"": ""味方死亡時1%でためる"", ""recommended"": false}, {""note"": null, ""text"": ""味方死亡時2%でためる"", ""recommended"": true}, {""note"": null, ""text"": ""味方死亡時1%で聖女の守り"", ""recommended"": false}, {""note"": null, ""text"": ""味方死亡時2%で聖女の守り"", ""recommended"": true}, {""note"": null, ""text"": ""さいだいHP+2"", ""recommended"": true}]","[{""note"": null, ""text"": ""Sキラーマシンの討伐報酬""}, {""note"": null, ""text"": ""銀のフェザーチップ12枚""}, {""note"": null, ""text"": ""アスフェルド光章2個(1回のみ)""}, {""note"": null, ""text"": ""アスフェルド大光章2個(1回のみ)""}]",/storage/images/accessories/2-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-3.php,2026-03-12 12:57:11,2026-07-07 15:54:31
3,accessory_kao_3,アクセルギア,あくせるぎあ,Mechanical Monocle,accessory,顔アクセサリー,顔,,第一世代,,,,,2,,,1,,,,,バトル中まれに すぐ行動できる 機械式モノクル,"[{""note"": null, ""text"": ""6％で行動ターンを消費しない"", ""recommended"": false}]","[{""note"": null, ""text"": ""1％で行動ターンを消費しない"", ""recommended"": false}, {""note"": null, ""text"": ""1.5％で行動ターンを消費しない"", ""recommended"": true}, {""note"": null, ""text"": ""さいだいHP+2"", ""recommended"": false}, {""note"": null, ""text"": ""すばやさ+4"", ""recommended"": false}]","[{""note"": null, ""text"": ""キラーマジンガの討伐報酬""}, {""note"": null, ""text"": ""銀のフェザーチップ4枚""}, {""note"": null, ""text"": ""すごろくの報酬""}]",/storage/images/accessories/3-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-4.php,2026-03-12 12:57:13,2026-07-07 15:52:39
4,accessory_kao_4,死神のピアス,しにがみのぴあす,Reaper's Earrings,accessory,顔アクセサリー,顔,3,第二世代,,,,,2,,,1,,,,,バトル中まれに すぐ行動できる 死神のピアス,"[{""note"": null, ""text"": ""9％で行動ターンを消費しない"", ""recommended"": false}]","[{""note"": null, ""text"": ""特技のダメージ+5"", ""recommended"": true}, {""note"": null, ""text"": ""特技の回復量+5"", ""recommended"": true}, {""note"": null, ""text"": ""呪文のダメージ+5"", ""recommended"": true}, {""note"": null, ""text"": ""呪文の回復量+5"", ""recommended"": true}]","[{""note"": null, ""text"": ""スライダークの討伐報酬""}, {""note"": null, ""text"": ""アスフェルド光章2個(1回のみ)""}]",/storage/images/accessories/4-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-5.php,2026-03-12 12:57:15,2026-07-07 15:52:56
5,accessory_kao_5,マーシャルピアス,まーしゃるぴあす,Martial Earring,accessory,顔アクセサリー,顔,4,第三世代,,,,,,,,,,,,,呪文と特技による ダメージが増す 行動的なピアス,"[{""note"": null, ""text"": ""10.5%でターン消費なし(試合無効)"", ""recommended"": false}, {""note"": null, ""text"": ""呪文と特技のダメージ+15(試合無効"", ""recommended"": false}]","[{""note"": null, ""text"": ""特技のダメージ+3"", ""recommended"": false}, {""note"": null, ""text"": ""特技のダメージ+4"", ""recommended"": false}, {""note"": null, ""text"": ""特技のダメージ+5"", ""recommended"": true}, {""note"": null, ""text"": ""呪文のダメージ+3"", ""recommended"": false}, {""note"": null, ""text"": ""呪文のダメージ+4"", ""recommended"": false}, {""note"": null, ""text"": ""呪文のダメージ+5"", ""recommended"": true}]","[{""note"": null, ""text"": ""コインボス「結界の守護者たち」の討伐報酬""}]",/storage/images/accessories/5-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-36.php,2026-03-12 12:57:17,2026-07-07 15:53:11
6,accessory_kao_6,レメディピアス,れめでぃぴあす,Remedial Earring,accessory,顔アクセサリー,顔,4,第三世代,,,,,,,,,,,,,呪文と特技による 回復量が増える 行動的なピアス,"[{""note"": null, ""text"": ""10.5%でターン消費なし(試合無効)"", ""recommended"": false}, {""note"": null, ""text"": ""呪文と特技の回復量+15(試合無効"", ""recommended"": false}]","[{""note"": null, ""text"": ""特技の回復量+3"", ""recommended"": false}, {""note"": null, ""text"": ""特技の回復量+4"", ""recommended"": false}, {""note"": null, ""text"": ""特技の回復量+5"", ""recommended"": true}, {""note"": null, ""text"": ""呪文の回復量+3"", ""recommended"": false}, {""note"": null, ""text"": ""呪文の回復量+4"", ""recommended"": false}, {""note"": null, ""text"": ""呪文の回復量+5"", ""recommended"": true}]","[{""note"": null, ""text"": ""コインボス「結界の守護者たち」の討伐報酬""}]",/storage/images/accessories/6-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-37.php,2026-03-12 12:57:20,2026-07-07 15:53:03
7,accessory_kao_7,悪霊の仮面,あくりょうのかめん,Evil Spirit Mask,accessory,顔アクセサリー,顔,,第一世代,,,,,2,,,2,,,,,開戦時まれに 必殺チャージする なぞめいた仮面,"[{""note"": null, ""text"": ""開戦時6%で必殺チャージ"", ""recommended"": false}]","[{""note"": null, ""text"": ""さいだいHP+2"", ""recommended"": true}, {""note"": null, ""text"": ""さいだいMP+2"", ""recommended"": false}, {""note"": null, ""text"": ""しゅび力+2"", ""recommended"": false}, {""note"": null, ""text"": ""こうげき魔力+2"", ""recommended"": false}, {""note"": null, ""text"": ""かいふく魔力+2"", ""recommended"": false}, {""note"": null, ""text"": ""すばやさ+2"", ""recommended"": false}, {""note"": null, ""text"": ""きようさ+2"", ""recommended"": false}, {""note"": null, ""text"": ""おしゃれさ+2"", ""recommended"": false}, {""note"": null, ""text"": ""おもさ+2"", ""recommended"": false}, {""note"": null, ""text"": ""戦闘開始時2%で必殺チャージ"", ""recommended"": true}]","[{""note"": null, ""text"": ""悪霊の神々の討伐報酬""}, {""note"": null, ""text"": ""銀のフェザーチップ4枚""}, {""note"": null, ""text"": ""すごろくの報酬""}]",/storage/images/accessories/7-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-1.php,2026-03-12 12:57:22,2026-07-07 15:53:49
8,accessory_kao_8,魔犬の仮面,まけんのかめん,Demon Dog Mask,accessory,顔アクセサリー,顔,7,第二世代,,,4,,6,4,4,6,4,4,4,4,開戦時たまに 必殺チャージする 面妖な仮面,"[{""note"": null, ""text"": ""開戦時10％で必殺チャージ""}]","[{""note"": null, ""text"": ""必殺チャージ時 バイキルト""}, {""note"": null, ""text"": ""必殺チャージ時 魔力かくせい""}, {""note"": null, ""text"": ""必殺チャージ時 聖なる祈り""}, {""note"": null, ""text"": ""必殺チャージ時 早詠みの杖""}, {""note"": null, ""text"": ""必殺チャージ時 スカラ2段階""}, {""note"": null, ""text"": ""必殺チャージ時 魔結界2段階""}, {""note"": null, ""text"": ""必殺チャージ時 心頭滅却""}, {""note"": null, ""text"": ""必殺チャージ時 ピオラ2段階""}, {""note"": null, ""text"": ""必殺チャージ時 弓聖の守り星""}, {""note"": null, ""text"": ""必殺チャージ時 ホップスティック""}, {""note"": null, ""text"": ""必殺チャージ時10%で聖騎士の堅陣""}]","[{""note"": null, ""text"": ""魔犬レオパルドの討伐報酬""}]",/storage/images/accessories/8-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-31.php,2026-03-12 12:57:24,2026-05-07 20:54:26
9,accessory_kao_9,デスマスク,ですますく,Slaughtomask,accessory,顔アクセサリー,顔,8,第三世代,,,4,,6,4,4,6,4,4,4,4,開戦時たまに 必殺チャージする 迫力満点の仮面,"[{""note"": null, ""text"": ""開戦時10％で必殺チャージ""}]","[{""note"": null, ""text"": ""必殺チャージ時 バイキルト""}, {""note"": null, ""text"": ""必殺チャージ時 魔力かくせい""}, {""note"": null, ""text"": ""必殺チャージ時 聖なる祈り""}, {""note"": null, ""text"": ""必殺チャージ時 早詠みの杖""}, {""note"": null, ""text"": ""必殺チャージ時 スカラ2段階""}, {""note"": null, ""text"": ""必殺チャージ時 魔結界2段階""}, {""note"": null, ""text"": ""必殺チャージ時 心頭滅却""}, {""note"": null, ""text"": ""必殺チャージ時 ピオラ2段階""}, {""note"": null, ""text"": ""必殺チャージ時 弓聖の守り星""}, {""note"": null, ""text"": ""必殺チャージ時 ホップスティック""}, {""note"": null, ""text"": ""必殺チャージ時10%で聖騎士の堅陣""}, {""note"": null, ""text"": ""必殺チャージ時 牙神昇誕""}, {""note"": null, ""text"": ""必殺チャージ時 暴走確定""}, {""note"": null, ""text"": ""必殺チャージ時 まもりのきり""}, {""note"": null, ""text"": ""必殺チャージ時 聖女の守り""}, {""note"": null, ""text"": ""必殺チャージ時 会心ガード""}]","[{""note"": null, ""text"": ""デスマシーンの討伐報酬""}]",/storage/images/accessories/9-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-38.php,2026-03-12 12:57:26,2026-05-07 20:54:26
10,accessory_kao_10,ダークアイ,だーくあい,Dark Eye,accessory,顔アクセサリー,顔,,第一世代,,,,,,4,,,,,10,,魅了に強くHPと 攻撃魔力が増える 漆黒の仮面,"[{""note"": null, ""text"": ""魅了ガード+50％""}]","[{""note"": null, ""text"": ""さいだいHP+2""}, {""note"": null, ""text"": ""こうげき魔力+2""}, {""note"": null, ""text"": ""こうげき魔力+3""}, {""note"": null, ""text"": ""魅了ガード+5%""}, {""note"": null, ""text"": ""魅了ガード+10%""}]","[{""note"": null, ""text"": ""レグナライト10個で交換する""}]",/storage/images/accessories/10-.webp,https://draquex.com/akuse/0-kao.php,https://draquex.com/akuse/akuse-kao-6.php,2026-03-12 12:57:28,2026-05-07 20:54:26
