id,display_order,name,name_en,created_at,updated_at
1,12,500年前の世界,"500 Years in the Past","2026-03-31 10:07:41","2026-03-31 13:06:34"
2,17,アルウェーン,Alweyn,"2026-03-31 10:07:41","2026-03-31 13:06:34"
3,5,ウェナ諸島,"Wena Islands","2026-03-31 10:07:41","2026-03-31 13:06:34"
4,16,ウルベア帝国,"Urbea Empire","2026-03-31 10:07:41","2026-03-31 13:06:34"
5,2,エルトナ大陸,Eltona,"2026-03-31 10:07:41","2026-03-31 13:06:34"
6,3,オーグリード大陸,Ogreed,"2026-03-31 10:07:41","2026-03-31 13:06:34"
7,15,オルセコ王国,"Orseco Kingdom","2026-03-31 10:07:41","2026-03-31 13:06:34"
8,23,その他,Other,"2026-03-31 10:07:41","2026-06-26 10:42:59"
9,1,ドワチャッカ大陸,Dwachakka,"2026-03-31 10:07:41","2026-03-31 12:49:58"
10,11,ナドラガンド,Nadragand,"2026-03-31 10:07:41","2026-03-31 13:06:34"
11,4,プクランド大陸,Pukuland,"2026-03-31 10:07:41","2026-03-31 13:06:34"
12,8,偽りのレンダーシア,"False Lendersia","2026-03-31 10:07:41","2026-03-31 13:06:34"
13,13,古エテーネ王国,"Old Ethene Kingdom","2026-03-31 10:07:41","2026-03-31 13:06:34"
14,14,古グランゼドーラ,"Old Gran Zedora","2026-03-31 10:07:41","2026-03-31 13:06:34"
15,10,大エテーネ島,"Greater Ethene","2026-03-31 10:07:41","2026-03-31 13:06:34"
16,20,天星郷,"the Firmament","2026-03-31 10:07:41","2026-03-31 13:06:34"
17,21,果ての大地,Zenias,"2026-03-31 10:07:41","2026-03-31 13:06:34"
18,9,真のレンダーシア,"True Lendersia","2026-03-31 10:07:41","2026-03-31 13:06:34"
19,18,神話の時代,"Mythical Age","2026-03-31 10:07:41","2026-03-31 13:06:34"
20,19,魔界,"Demon World","2026-03-31 10:07:41","2026-03-31 13:06:34"
22,22,ユーマグラム,Yumagram,"2026-06-26 10:42:59","2026-06-26 10:42:59"
