id,display_order,name,name_kana,name_en,map_image_folder,created_at,updated_at
1,12,500年前の世界,ごひゃくねんまえのせかい,"500 Years in the Past",500_years_ago,"2026-03-31 17:07:41","2026-08-04 12:50:04"
2,17,アルウェーン,あるうぇーん,Alweyn,kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:34"
3,5,ウェナ諸島,うぇなしょとう,"Wena Islands",wena_islands,"2026-03-31 17:07:41","2026-08-04 12:39:54"
4,16,ウルベア帝国,うるべあていこく,"Urbea Empire",kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:27"
5,2,エルトナ大陸,えるとなたいりく,Eltona,eltona_continent,"2026-03-31 17:07:41","2026-08-04 12:39:15"
6,3,オーグリード大陸,おーぐりーどたいりく,Ogreed,ogreed_continent,"2026-03-31 17:07:41","2026-08-04 12:39:28"
7,15,オルセコ王国,おるせこおうこく,"Orseco Kingdom",kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:21"
8,21,その他,そのた,Other,そのた,"2026-03-31 17:07:41","2026-08-04 12:53:01"
9,1,ドワチャッカ大陸,どわちゃっかたいりく,Dwachakka,dwachakka_continent,"2026-03-31 17:07:41","2026-08-04 12:35:51"
10,11,ナドラガンド,などらがんど,Nadragand,nadragand,"2026-03-31 17:07:41","2026-08-04 12:44:48"
11,4,プクランド大陸,ぷくらんどたいりく,Pukuland,pukland_continent,"2026-03-31 17:07:41","2026-08-04 12:39:40"
12,8,偽りのレンダーシア,いつわりのれんだーしあ,"False Lendersia",false_lendersia,"2026-03-31 17:07:41","2026-08-04 12:40:11"
13,13,古エテーネ王国,いにしええてーねおうこく,"Old Ethene Kingdom",kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:13"
14,14,古グランゼドーラ,いにしえぐらんぜどーら,"Old Gran Zedora",kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:01"
15,10,大エテーネ島,だいえてーねとう,"Greater Ethene",etene_islands,"2026-03-31 17:07:41","2026-08-04 12:40:45"
16,20,天星郷,てんせいきょう,"The Firmament",tensei,"2026-03-31 17:07:41","2026-08-04 12:44:21"
17,22,果ての大地,はてのだいち,Zenias,hate,"2026-03-31 17:07:41","2026-08-04 12:53:01"
18,9,真のレンダーシア,しんのれんだーしあ,"True Lendersia",true_lendersia,"2026-03-31 17:07:41","2026-08-04 12:40:23"
19,18,神話の時代,しんわのじだい,"Mythical Age",kyururu,"2026-03-31 17:07:41","2026-08-04 12:52:43"
20,19,魔界,まかい,"Demon World",makai,"2026-03-31 17:07:41","2026-08-04 12:44:29"
22,23,ユーマグラム,ゆーまぐらむ,Yumagram,yumagram,"2026-06-26 17:42:59","2026-08-04 12:53:01"
