id,key,name,display_name,kind,craft_type_id,grid_json,created_at,updated_at
1,sword_1h,片手剣,片手剣,weapon,1,"{""cols"": 1, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
2,sword_2h,両手剣,両手剣,weapon,1,"{""cols"": 2, ""rows"": 4, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
3,dagger,短剣,短剣,weapon,1,"{""cols"": 1, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
4,spear,ヤリ,ヤリ,weapon,1,"{""cols"": 1, ""rows"": 4, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
5,axe,オノ,オノ,weapon,1,"{""cols"": 2, ""rows"": 4, ""disabledCells"": [[2, 1], [3, 1]]}","2026-08-06 07:17:33","2026-08-06 09:15:39"
6,hammer,ハンマー,ハンマー,weapon,1,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
7,claw,ツメ,ツメ,weapon,1,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
8,whip,ムチ,ムチ,weapon,1,"{""cols"": 2, ""rows"": 4, ""disabledCells"": [[3, 1]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
9,boomerang,ブーメラン,ブーメラン,weapon,3,"{""cols"": 2, ""rows"": 3, ""disabledCells"": [[1, 0]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
10,stick,スティック,スティック,weapon,3,"{""cols"": 1, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
11,staff_2h,両手杖,両手杖,weapon,3,"{""cols"": 1, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
12,kon,棍,棍,weapon,3,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
13,fan,扇,扇,weapon,3,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
14,bow,弓,弓,weapon,3,"{""cols"": 2, ""rows"": 3, ""disabledCells"": [[1, 1]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
15,scythe,鎌,鎌,weapon,1,"{""cols"": 2, ""rows"": 4, ""disabledCells"": [[1, 1], [2, 1], [3, 1]]}","2026-08-06 07:17:33","2026-08-06 07:21:54"
16,shield_small,小盾,小盾,shield,2,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
17,shield_large,大盾,大盾,shield,2,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 07:21:54"
18,armor_head,鎧頭,頭,armor,2,"{""cols"": 2, ""rows"": 2, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
19,armor_upper,鎧上,体上,armor,2,"{""cols"": 2, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:29:44"
20,armor_lower,鎧下,体下,armor,2,"{""cols"": 2, ""rows"": 4, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
21,armor_arms,鎧腕,腕,armor,2,"{""cols"": 1, ""rows"": 3, ""disabledCells"": []}","2026-08-06 07:17:33","2026-08-06 09:06:00"
22,armor_feet,鎧足,足,armor,2,"{""cols"": 2, ""rows"": 3, ""disabledCells"": [[1, 0]]}","2026-08-06 07:17:33","2026-08-06 10:21:27"
