id,key,name,kind,craft_type_id,created_at,updated_at
1,sword_1h,片手剣,weapon,1,,
2,sword_2h,両手剣,weapon,1,,
3,dagger,短剣,weapon,1,,
4,spear,ヤリ,weapon,1,,
5,axe,オノ,weapon,1,,
6,hammer,ハンマー,weapon,1,,
7,claw,ツメ,weapon,1,,
8,whip,ムチ,weapon,1,,
9,boomerang,ブーメラン,weapon,3,,
10,stick,スティック,weapon,3,,
11,staff_2h,両手杖,weapon,3,,
12,kon,棍,weapon,3,,
13,fan,扇,weapon,3,,
14,bow,弓,weapon,3,,
15,scythe,鎌,weapon,1,,
16,shield_small,小盾,armor,2,,
17,shield_large,大盾,armor,2,,
18,armor,鎧,armor,2,,
19,robe,ローブ,armor,4,,
21,tozoku_type,盗賊装備,armor,4,,
22,tabi_type,旅芸人装備,armor,4,,
23,butoka_type,武闘家装備(防具鍛冶),armor,2,,"2026-05-23 06:55:29"
24,dogu_kaji,道具鍛冶,weapon,7,,
25,budoka_saiho,武闘家装備(裁縫),armor,4,"2026-05-23 06:55:47","2026-05-23 06:55:47"
26,kagu,家具,weapon,4,"2026-07-26 09:25:40","2026-07-26 09:25:40"
27,tsurizao,釣りざお,weapon,3,"2026-07-26 11:52:06","2026-07-26 11:52:06"
