id,item_id,item_name,item_name_en,group_id,group_name,group_kind,equipment_type_id,fabric_type,effects_json,max_hp,max_mp,attack,defense,charm,agility,dexterity,magic_attack,healing_power,job_override_mode,craft_level,equip_level,recipe_book,recipe_place,description,slot,slot_grid_type,slot_grid_cols,materials_json,slot_grid_json,source_url,detail_url,default_price,weight,created_at,updated_at
1,sword_1h_132,守護竜のつるぎ,"Wyrmguard Blade",,,,1,,"[""行動時5%でスカラ2段階"", ""全ての属性のダメージ+3.0%""]",,,276,,26,,,24,,inherit,75,132,ぼくと守護竜,はじまりの地のレシピ屋クツツ1000000G,"行動時まれに スカラが２段階 発動する片手剣",片手剣,片手剣,1,"[{""count"": 30, ""item_id"": 705}, {""count"": 6, ""item_id"": 603}, {""count"": 6, ""item_id"": 695}, {""count"": 8, ""item_id"": 754}, {""count"": 9, ""item_id"": 729}]","[[""400-408""], [""310-318""], [""505-513""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-132-1.php,,16,"2026-03-12 07:31:10","2026-07-23 15:19:01"
2,sword_1h_130,レオンソード,"Sword of Leo",,,,1,,"[""攻撃時10.0%でチャージ時間-10秒"", ""2.0%でターン消費なし""]",,,267,,26,,,24,,inherit,75,130,レシピ入手方法,神都フォーリオンのレシピ屋1000000G,"攻撃時たまに チャージ時間を 短縮する片手剣",片手剣,片手剣,1,"[{""count"": 30, ""item_id"": 705}, {""count"": 3, ""item_id"": 693}, {""count"": 3, ""item_id"": 658}, {""count"": 10, ""item_id"": 702}, {""count"": 8, ""item_id"": 729}]","[[""470-480""], [""290-297""], [""350-357""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-130-1.php,,16,"2026-03-12 00:31:13","2026-07-23 15:19:01"
3,sword_1h_128,不浄の滅剣,"Blade of Impurity",,,,1,,"[""行動時10%でバイシオン"", ""ゾンビ系にダメージ+15%""]",,,256,,26,,,24,,inherit,65,128,レシピ入手方法,神都フォーリオンのレシピ屋1000000G,"ゾンビ系に強く たまにバイシオン も発動する片手剣",片手剣,片手剣,,"[{""count"": 30, ""item_id"": 705}, {""count"": 4, ""item_id"": 649}, {""count"": 8, ""item_id"": 834}, {""count"": 10, ""item_id"": 880}, {""count"": 1, ""item_id"": 729}]","[[""480-488""], [""380-388""], [""532-540""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-128-1.php,,16,"2026-03-12 00:31:15","2026-07-23 15:19:01"
4,sword_1h_125,コメットソード,"Comet Sword",,,,1,,"[""特技のダメージ+15"", ""武器ガード率+2.0%""]",,,243,,26,,,24,,inherit,75,125,彗星のしっぽをつかめ！,神都フォーリオンのレシピ屋1000000G,"特技ダメージ増え 武器ガードも 出やすくなる剣",片手剣,片手剣,,"[{""count"": 30, ""item_id"": 705}, {""count"": 3, ""item_id"": 883}, {""count"": 20, ""item_id"": 693}, {""count"": 1, ""item_id"": 570}, {""count"": 8, ""item_id"": 729}]","[[""380-388""], [""488-497""], [""346-354""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-125-1.php,,16,"2026-03-12 00:31:18","2026-07-23 15:19:01"
5,sword_1h_120,セーラスソード,"Selas Sword",,,,1,,"[""かいしん率+1.2%"", ""会心と暴走時魔物にダメージ+15""]",,,229,,26,,,22,,inherit,70,120,神光放つ剣の書,神都フォーリオンのレシピ屋1000000G,"会心の一撃の 威力と確率が 強化される片手剣",片手剣,片手剣,,"[{""count"": 30, ""item_id"": 799}, {""count"": 5, ""item_id"": 693}, {""count"": 30, ""item_id"": 810}, {""count"": 1, ""item_id"": 570}, {""count"": 8, ""item_id"": 729}]","[[""340-348""], [""400-408""], [""318-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-120-1.php,,16,"2026-03-12 00:31:20","2026-07-23 15:19:01"
6,sword_1h_118,妖精の剣,"Fairy Sword",,,,1,,"[""行動時5%でスカラ2段階"", ""全ての属性攻撃ダメージ+3.0%""]",,,215,,28,,,22,,inherit,70,118,妖精の加護,神都フォーリオンのレシピ屋1000000G,"行動時まれに スカラが２段階 発動する片手剣",片手剣,片手剣,1,"[{""count"": 30, ""item_id"": 799}, {""count"": 3, ""item_id"": 787}, {""count"": 20, ""item_id"": 619}, {""count"": 5, ""item_id"": 543}, {""count"": 7, ""item_id"": 729}]","[[""320-327""], [""320-327""], [""400-410""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-118-1.php,,16,"2026-03-12 00:31:22","2026-07-23 15:19:01"
7,sword_1h_115,輝天のつるぎ,"Sky Sword",,,,1,,"[""攻撃時10.0%でチャージ時間-10秒"", ""2.0%でターン消費なし""]",,,201,,26,,,20,,inherit,65,115,輝けるつるぎの伝説,砂の都ファラザードのレシピ屋1000000G,行動時たまにチャージ時間を短縮する片手剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 799}, {""count"": 10, ""item_id"": 531}, {""count"": 10, ""item_id"": 826}, {""count"": 15, ""item_id"": 745}, {""count"": 5, ""item_id"": 865}]","[[""300-306""], [""320-328""], [""375-385""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-115-1.php,,16,"2026-03-12 00:31:24","2026-07-23 15:19:01"
8,sword_1h_110,鳴神のつるぎ,"Thunder Sword",,,,1,,"[""特技のダメージ+10"", ""攻撃時8.0%で雷と光耐性ダウン""]",,,187,,26,,,15,,inherit,65,110,鳴神の雷光,砂の都ファラザードのレシピ屋50000G,攻撃時たまに雷と光の耐性を下げる剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 708}, {""count"": 1, ""item_id"": 554}, {""count"": 5, ""item_id"": 567}, {""count"": 5, ""item_id"": 865}]","[[""370-380""], [""315-321""], [""300-309""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-110-1.php,,16,"2026-03-12 00:31:27","2026-07-23 15:19:01"
9,sword_1h_108,デッドリーソード,"Deadly Sword",,,,1,,"[""かいしん率+1.2%"", ""会心と暴走時魔物にダメージ+15""]",,,175,,26,,,,,inherit,65,108,会心！デッドリーソード,王都キィンベルのレシピ屋50000G,会心の一撃の威力と確率が強化される片手剣,片手剣,片手剣,,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 603}, {""count"": 3, ""item_id"": 753}, {""count"": 5, ""item_id"": 718}, {""count"": 5, ""item_id"": 865}]","[[""330-336""], [""370-380""], [""350-360""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-108-1.php,,15,"2026-03-12 00:31:29","2026-07-23 15:19:01"
10,sword_1h_105,呪印のつるぎ,"Cursed Sword",,,,1,,"[""攻撃時5%でぶきみなひかり"", ""武器ガード率＋2.0%""]",,,165,,26,,,,,inherit,60,105,はじけろ呪印！,王都キィンベルのレシピ屋50000G,攻撃を防いだりまれに相手を呪文に弱くする剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 741}, {""count"": 1, ""item_id"": 550}, {""count"": 5, ""item_id"": 648}, {""count"": 20, ""item_id"": 784}, {""count"": 5, ""item_id"": 865}]","[[""300-310""], [""300-310""], [""350-356""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-105-1.php,,10,"2026-03-12 00:31:32","2026-07-23 15:19:01"
11,sword_1h_100,邪紋のつるぎ,"Wicked Sword",,,,1,,"[""状態異常系の成功率+10.0%"", ""攻撃時5%でヘナトス""]",3,,156,,26,,,,,inherit,45,100,受け継がれし邪紋の書,王都キィンベルのレシピ屋40000G,まれに攻撃力を下げ状態異常成功率が少し上がる剣,片手剣,片手剣,1,"[{""count"": 10, ""item_id"": 543}, {""count"": 1, ""item_id"": 648}, {""count"": 5, ""item_id"": 759}, {""count"": 30, ""item_id"": 850}, {""count"": 5, ""item_id"": 865}]","[[""294-304""], [""318-326""], [""328-336""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-100-1.php,,10,"2026-03-12 00:31:34","2026-07-23 15:19:01"
12,sword_1h_99,アカシックソード,"Void Sword",,,,1,,"[""かいしん率+1.2%"", ""こうげき力上昇の時間が10秒増加""]",3,,147,,24,,,,,inherit,44,99,図解・虚空を断つ剣,聖都エジャルナのレシピ屋40000G,会心率を少し上げ攻撃力アップも延長できる剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 543}, {""count"": 1, ""item_id"": 564}, {""count"": 30, ""item_id"": 633}, {""count"": 30, ""item_id"": 535}, {""count"": 5, ""item_id"": 865}]","[[""284-294""], [""320-326""], [""316-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-99-1.php,,10,"2026-03-12 00:31:36","2026-07-23 15:19:01"
13,sword_1h_96,天恵石のつるぎ,"Blessed Stone Sword",,,,1,,"[""獣系にダメージ+15%"", ""攻撃時4%でボミエ2段階""]",3,,138,,22,,,,,inherit,43,96,天恵石の契約・剣の章,聖都エジャルナのレシピ屋40000G,獣系に強くまれに敵の動きをにぶらせる剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 543}, {""count"": 1, ""item_id"": 703}, {""count"": 20, ""item_id"": 608}, {""count"": 10, ""item_id"": 850}, {""count"": 5, ""item_id"": 865}]","[[""300-310""], [""368-374""], [""300-310""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-96-1.php,,10,"2026-03-12 00:31:38","2026-07-23 15:19:01"
14,sword_1h_93,セイクリッドソード,"Sacred Sword",,,,1,,"[""かいしん率+1.2%"", ""武器ガード率+2.0%""]",,,123,,20,,,,,inherit,42,93,聖剣と生きる,聖都エジャルナのレシピ屋30000G,鋭い斬撃と聖なる守護をあわせ持つ聖剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 759}, {""count"": 1, ""item_id"": 765}, {""count"": 1, ""item_id"": 703}, {""count"": 30, ""item_id"": 627}, {""count"": 5, ""item_id"": 865}]","[[""260-270""], [""260-270""], [""320-326""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-93-1.php,,10,"2026-03-12 00:31:41","2026-07-23 15:19:01"
15,sword_1h_90,はやぶさの剣改,"Uber Falcon Blade",,,,1,,"[""2回攻撃できる"", ""開戦時10%でバイキルト""]",,,117,,16,,,,,inherit,41,90,はやぶさの剣改の書,聖都エジャルナのレシピ屋30000G,はやぶさの剣より切れ味するどく2回攻撃できる剣,片手剣,片手剣,1,"[{""count"": 5, ""item_id"": 759}, {""count"": 1, ""item_id"": 856}, {""count"": 1, ""item_id"": 611}, {""count"": 1, ""item_id"": 570}, {""count"": 5, ""item_id"": 865}]","[[""341-347""], [""294-304""], [""245-255""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-90-1.php,,10,"2026-03-12 00:31:43","2026-07-23 15:19:01"
16,sword_1h_85,戦姫のレイピア,"War Princess Rapier",,,,1,,"[""MP消費しない率+4.0%"", ""かいしん率+1.2%""]",,6,111,,18,,,,,inherit,40,85,ゴーゴー戦姫,真グランゼドーラ王国のレシピ屋30000G,魔力を節約できる鋭い切っ先の気高きレイピア,片手剣,片手剣,1,"[{""count"": 3, ""item_id"": 759}, {""count"": 20, ""item_id"": 728}, {""count"": 20, ""item_id"": 595}, {""count"": 1, ""item_id"": 761}, {""count"": 5, ""item_id"": 865}]","[[""220-226""], [""252-262""], [""288-298""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-85-1.php,,10,"2026-03-12 00:31:45","2026-07-23 15:19:01"
17,sword_1h_80,天命のつるぎ,"Sword of Judgment",,,,1,,"[""攻撃時4%でヘナトス""]",,,105,,15,,,,,inherit,39,80,天命賢書,真グランゼドーラ王国のレシピ屋20000G,斬りつけた相手の攻撃力を下げる神々に愛されし剣,片手剣,片手剣,1,"[{""count"": 15, ""item_id"": 838}, {""count"": 5, ""item_id"": 702}, {""count"": 3, ""item_id"": 735}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""220-230""], [""300-306""], [""220-230""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-80-2.php,,10,"2026-03-12 00:31:48","2026-07-23 15:19:01"
18,sword_1h_80_2,"名刀 斬鉄丸","Thousand-Fold Katana",,,,1,,"[""攻撃時4%でルカニ""]",,,101,,15,,,,,inherit,38,80,斬鉄丸の書,真グランゼドーラ王国のレシピ屋20000G,時々斬った相手の守備力を下げる切れ味するどい刀,片手剣,片手剣,1,"[{""count"": 30, ""item_id"": 608}, {""count"": 5, ""item_id"": 819}, {""count"": 10, ""item_id"": 678}, {""count"": 1, ""item_id"": 761}, {""count"": 10, ""item_id"": 865}]","[[""335-341""], [""265-275""], [""192-202""]]",https://draquex.com/buki/0-katate.php,https://draquex.com/buki/katate-80-1.php,,10,"2026-03-12 00:31:50","2026-07-23 15:19:01"
