id,name,name_kana,name_en,buy_price,sell_price,category,created_at,updated_at
1,アイスバー,あいすばー,"Ice Pop",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
2,愛のチョコレート,あいのちょこれーと,"Affection Chocolate",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
3,愛のマカロン,あいのまかろん,"Love Macaron",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
4,悪霊の神々カード,あくりょうのかみがみかーど,"Evil Trinity Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
5,悪霊の神々強カード,あくりょうのかみがみきょうかーど,"Apex Evil Trinity Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
6,悪霊の神々強メダル,あくりょうのかみがみきょうめだる,"Apex Evil Trinity Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
7,悪霊の神々コイン,あくりょうのかみがみこいん,"Evil Trinity Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
8,悪霊の神々練習札,あくりょうのかみがみれんしゅうふだ,"Evil Trinity Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
9,アクロバットケーキ,あくろばっとけーき,"Acrobatic Cake",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
10,アスフェルド光章,あすふぇるどこうしょう,"Asfeld Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
11,アスフェルド大光章,あすふぇるどだいこうしょう,"Large Asfeld Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
12,アトラスカード,あとらすかーど,"Atlas Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
13,アトラス強カード,あとらすきょうかーど,"Apex Atlas Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
14,アトラス強メダル,あとらすきょうめだる,"Apex Atlas Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
15,アトラスコイン,あとらすこいん,"Atlas Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
16,アトラス練習札,あとらすれんしゅうふだ,"Atlas Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
17,アナザーハートの箱,あなざーはーとのはこ,"Another Heart Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
18,甘味のモト,あまみのもと,"Sweet Powder",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
19,アマリリスの笑顔,あまりりすのえがお,"Amaryllis' Smile",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
20,アモールの水,あもーるのみず,"Amor Seco Essence",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
21,暗黒の魔人カード,あんこくのまじんかーど,"Ruin Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
22,暗黒の魔人コイン,あんこくのまじんこいん,"Ruin Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
23,暗黒の魔人強カード,あんこくのまじんきょうかーど,"Apex Ruin Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
24,暗黒の魔人強メダル,あんこくのまじんきょうめだる,"Apex Ruin Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
25,暗黒の魔人練習札,あんこくのまじんれんしゅうふだ,"Ruin Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
26,アンチイエローバー,あんちいえろーばー,"Anti-Yellow Bar",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
27,アンドレアルカード,あんどれあるかーど,"Rashaverak Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
28,アンドレアルコイン,あんどれあるこいん,"Rashaverak Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
29,アンドレアル練習札,あんどれあるれんしゅうふだ,"Rashaverak Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
30,アーマービスケ,あーまーびすけ,"Armor Biscuit",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
31,いちばん星の贈り物,いちばんぼしのおくりもの,"First Star's Gift",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
32,いのちのきのみ,いのちのきのみ,"Seed of Life",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
33,いやしそう,いやしそう,"Superior Medicine",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
35,色見本,いろみほん,"Color Sample",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
36,ウォールビスケ,うぉーるびすけ,"Wall Biscuit",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
37,うつくしそう,うつくしそう,"Pretty Betsy",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
38,うつしよの極箱,うつしよのきょくばこ,"Very Worldly Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
39,うつしよの金箱,うつしよのきんばこ,"Worldly Gold Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
40,うつしよの銀箱,うつしよのぎんばこ,"Worldly Silver Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
41,うつしよの天箱,うつしよのてんばこ,"Worldly Sky Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
42,うつしよの銅箱,うつしよのどうばこ,"Worldly Bronze Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
43,うつしよの竜箱,うつしよのりゅうばこ,"Worldly Dragon Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
44,うつしよの闇箱,うつしよのやみばこ,"Worldly Dark Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
45,裏ショコラチケット,うらしょこらちけっと,"Chocolate Ticket Back",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
46,ウルベア金貨,うるべあきんか,"Urbea Gold Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
47,ウルベア銀貨,うるべあぎんか,"Urbea Silver Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
48,ウルベア銅貨,うるべあどうか,"Urbea Copper Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
49,運動会・赤組衣装券,うんどうかい・あかぐみいしょうけん,"Red Team Voucher",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
50,運動会・白組衣装券,うんどうかい・しろぐみいしょうけん,"White Team Voucher",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
51,エテーネルスープ,えてーねるすーぷ,"Ethenel Soup",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
52,絵葉書用便せん,えはがきようびんせん,"Postcard Paper",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
53,エビルプリーストカード,えびるぷりーすとかーど,"Aamon Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
54,エビルプリーストコイン,えびるぷりーすとこいん,"Aamon Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
55,エビルプリーストメダル,えびるぷりーすとめだる,"Aamon Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
56,エビルプリースト練習札,えびるぷりーすとれんしゅうふだ,"Aamon Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
57,エレガントココア,えれがんとここあ,"Elegant Cocoa",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
58,エルフの飲み薬,えるふののみやく,"Elfin Elixir",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
59,お祝いクラッカー,おいわいくらっかー,"Celebration Popper",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
60,黄金のアンクの箱,おうごんのあんくのはこ,"Golden Ankh Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
61,黄金の花びら,おうごんのはなびら,"Golden Petal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
62,黄金のブローチの箱,おうごんのぶろーちのはこ,"Golden Brooch Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
63,王都の桜もち,おうとのさくらもち,"Royal Cherry Mochi",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
64,お正月の絵馬,おしょうがつのえま,"New Year Ema",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
65,おたからさがしのすず,おたからさがしのすず,"Treasure Eye Land Bell",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
66,おたから花,おたからはな,Treasurebloom,,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
67,おたのしみギュッと箱,おたのしみぎゅっとはこ,"Pleasure Arm Doll Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
68,お花の福袋,おはなのふくぶくろ,"Flower Grab Bag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
69,お招きのつばさ,おまねきのつばさ,"Invitation Wing",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
70,おみくじボックス,おみくじぼっくす,"Fortune Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
71,おみくじボックスII,おみくじぼっくすII,"Omikuji Box II",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
72,おみくじボックスIII,おみくじぼっくすIII,"Omikuji Box III",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
73,おめかしカラー券,おめかしからーけん,"Recolor Ticket",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
74,おめかしレアカラー券,おめかしれあからーけん,"Rare Recolor Ticket",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
75,おもいでのすず,おもいでのすず,Evac-u-Bell,,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
76,おもさのたね,おもさのたね,"Seed of Weight",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
77,オーガニックサラダ,おーがにっくさらだ,"Ogre-nic Salad",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
78,オーブな香水,おーぶなこうすい,"Orb Perfume",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
79,オーブなプチ香水,おーぶなぷちこうすい,"Orb Perfume S",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
80,オーブなプチプチ香水,おーぶなぷちぷちこうすい,"Orb Perfume XS",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
81,牙王ゴースネル召喚符,がおうごーすねるしょうかんふ,"Gosnell Summon",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
82,覚醒の鬼石,かくせいのきせき,"Super Demon Stone",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
83,カジノな香水,かじのなこうすい,"Casino Perfume",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
84,カジノなプチ香水,かじのなぷちこうすい,"Casino Perfume S",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
85,カジノなプチプチ香水,かじのなぷちぷちこうすい,"Casino Petit Perfume",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
86,カジノプレイチケット,かじのぷれいちけっと,"Casino Play Ticket",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
87,仮装メイクおためし道具,かそうめいくおためしどうぐ,"Makeup Trial Kit",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
88,仮装メイク道具,かそうめいくどうぐ,"Makeup Kit",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
89,ガタラのブタまん,がたらのぶたまん,"Gatara Pig Buns",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
90,カムシカせんべえ,かむしかせんべえ,"Azlantelope Wafer",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
91,辛党衣装券,からとういしょうけん,"Spicy Costume Voucher",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
92,辛味のモト,からみのもと,"Spicy Powder",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
93,カリスマココア,かりすまここあ,"Charisma Cocoa",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
94,きせきの香水,きせきのこうすい,"Miracle Perfume",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
95,きせきのプチ香水,きせきのぷちこうすい,"Miracle Perfume S",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
96,きせきのプチプチ香水,きせきのぷちぷちこうすい,"Miracle Perfume XS",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
97,輝石の天箱,きせきのてんばこ,"Augite Sky Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
98,輝石の竜箱,きせきのりゅうばこ,"Augite Dragon Box",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
99,きつけそう,きつけそう,Softwort,,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
100,究極邪教司祭カード,きゅうきょくじゃきょうしさいかーど,"Ultimate Aamon Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
101,究極邪教司祭コイン,きゅうきょくじゃきょうしさいこいん,"Ultimate Aamon Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
102,究極邪教司祭メダル,きゅうきょくじゃきょうしさいめだる,"Ultimate Aamon Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
103,究極邪教司祭練習札,きゅうきょくじゃきょうしさいれんしゅうふだ,"Ultimate Aamon Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
104,キューティココア,きゅーてぃここあ,"Cutie Cocoa",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
105,ギュメイ将軍カード,ぎゅめいしょうぐんかーど,"Goresby-Purrvis Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
106,ギュメイ将軍コイン,ぎゅめいしょうぐんこいん,"Goresby-Purrvis Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
107,ギュメイ将軍練習札,ぎゅめいしょうぐんれんしゅうふだ,"Goresby-Purrvis Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
108,きようさのたね,きようさのたね,"Seed of Deftness",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
109,兄弟姉妹コーデ券,きょうだいしまいこーでけん,"Sibling Glamour Ticket",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
110,強・キャッツメダル,きょう・きゃっつめだる,"Apex Cats Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
111,強・サボテンダーコイン,きょう・さぼてんだーこいん,"Apex Cactuar Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
112,強・タロットメダル,きょう・たろっとめだる,"Apex Tarot Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
113,強・ボーンズメダル,きょう・ぼーんずめだる,"Apex Bones Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
114,強・魔軍メダル,きょう・まぐんめだる,"Apex Demon Army Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
115,強・マンドラゴラコイン,きょう・まんどらごらこいん,"Apex Mandragora Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
116,キラーマジンガカード,きらーまじんがかーど,"Uberkilling Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
117,キラーマジンガ強カード,きらーまじんがきょうかーど,"Apex Uberkilling Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
118,キラーマジンガ強メダル,きらーまじんがきょうめだる,"Apex Uberkilling Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
119,キラーマジンガコイン,きらーまじんがこいん,"Uberkilling Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
120,キラーマジンガ練習札,きらーまじんがれんしゅうふだ,"Uberkilling Machine Tag",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
121,○○の緊急依頼書,○○のきんきゅういらいしょ,"Emergency Request: ○○",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
122,キングヒドラカード,きんぐひどらかーど,"King Hydra Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
123,キングヒドラ強カード,きんぐひどらきょうかーど,"Apex King Hydra Card",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
124,キングヒドラ強メダル,きんぐひどらきょうめだる,"Apex King Hydra Medal",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
125,キングヒドラコイン,きんぐひどらこいん,"King Hydra Coin",,,consumable,"2026-03-12 12:52:25","2026-07-26 16:57:28"
