id,display_order,name,name_en,created_at,updated_at
1,1,スライム系,Slime,"2026-08-03 09:56:45","2026-08-03 09:56:45"
2,2,けもの系,Beast,"2026-08-03 09:56:45","2026-08-03 09:56:45"
3,3,植物系,Plant,"2026-08-03 09:56:45","2026-08-03 09:56:45"
4,4,あくま系,Demon,"2026-08-03 09:56:45","2026-08-03 09:56:45"
5,5,虫系,Insect,"2026-08-03 09:56:45","2026-08-03 09:56:45"
6,6,鳥系,Bird,"2026-08-03 09:56:45","2026-08-03 09:56:45"
7,7,エレメント系,Elemental,"2026-08-03 09:56:45","2026-08-03 09:56:45"
8,8,怪人系,Humanoid,"2026-08-03 09:56:45","2026-08-03 09:56:45"
9,9,水系,Aquatic,"2026-08-03 09:56:45","2026-08-03 09:56:45"
10,10,ゾンビ系,Undead,"2026-08-03 09:56:45","2026-08-03 09:56:45"
11,11,ドラゴン系,Dragon,"2026-08-03 09:56:45","2026-08-03 09:56:45"
12,12,物質系,Material,"2026-08-03 09:56:45","2026-08-03 09:56:45"
13,13,マシン系,Machine,"2026-08-03 09:56:46","2026-08-03 09:56:46"
14,14,？？？系,???,"2026-08-03 09:56:48","2026-08-03 13:05:38"
