id,display_order,name,name_kana,name_en,monster_system_type_id,is_reincarnated,reincarnation_parent_id,source_url,image_path,trivia_1,trivia_2,created_at,updated_at
1,1,スライム,スライム,Slime,1,0,,https://www.d-quest-10.com/detail/a00151.html,/storage/images/monsters/1.webp,プルプルとした水色の身体とまんまるのひとみがかわいらしいモンスター。皆さんおなじみのアイツ。,ひんやりプルプルの身体は暑くなるとしんどいようだ。真夏にはスライムたちが岩陰で寝ていたりする。,"2026-03-12 13:29:31","2026-07-27 15:17:43"
2,2,スライムベス,スライムベス,She-Slime,1,0,,https://www.d-quest-10.com/detail/a00155.html,/storage/images/monsters/2.webp,"あざやかな身体が自慢の色違いのスライム。スライムより ちょっぴり強くさわると 少しあたたかい。","じつは スライムのメスというウワサもあるようだが学会のえらい人でも真相は わからないらしい。","2026-03-12 13:29:34","2026-07-27 15:17:43"
3,3,いたずらもぐら,イタズラモグラ,"Mischievous Mole",2,0,,https://www.d-quest-10.com/detail/a00021.html,/storage/images/monsters/3.webp,スコップを持ったいたずら好きのモンスター。チカラをためてきたら気をつけよう！,かつては落とし穴を掘って旅人をはめようとしていたが仲間同士で穴に落ちまくりそれ以来自重している。,"2026-03-12 13:29:37","2026-08-03 10:29:01"
4,4,ビッグハット,ビッグハット,"Sham Hatwitch",2,0,,https://www.d-quest-10.com/detail/a00237.html,/storage/images/monsters/4.webp,大きな帽子を深くかぶったイノシシ魔物のルーキー。戦いになるとおびえてしまい帽子にくるまって身を守る。,魔物たちについ最近までペットとして飼われていたが戦力になると見込まれ魔物の一員として戦っている。,"2026-03-12 13:29:43","2026-08-03 12:10:41"
5,5,ナスビナーラ,ナスビナーラ,Woebergine,3,0,,https://www.d-quest-10.com/detail/a00213.html,/storage/images/monsters/5.webp,旅人に自慢の踊りを見せるために現れるナスの形のモンスター。愛らしい動きに注目。,特徴的な踊りの動きは誰にも知られずがんばって身につけた努力のたまもの。目指すはナスビ界のプリマ！,"2026-03-12 13:29:46","2026-07-27 15:17:43"
6,6,おむつっこり,オムツッコリ,"Bushy Baby",3,0,,https://www.d-quest-10.com/detail/a00047.html,/storage/images/monsters/6.webp,春芽吹いたばかりの樹木から生まれた精霊。かわいらしい姿で現れて旅人たちを和ませる。,おむつ卒業の時期が来ても大人になんかなりたくない！と言っておむつを脱がないじんめんじゅの赤ちゃん。,"2026-03-12 13:29:49","2026-07-27 15:17:43"
7,7,モーモン,モーモン,"Teeny Sanguini",4,0,,https://www.d-quest-10.com/detail/a00336.html,/storage/images/monsters/7.webp,"人間を見ると 遊んでほしくてフワフワとついてくる","かわいらしいモンスター。牛のような模様が 特徴。","2026-03-12 13:29:53","2026-08-03 12:09:04"
8,8,いっかくウサギ,イッカクウサギ,Bunicorn,2,0,,https://www.d-quest-10.com/detail/a00022.html,/storage/images/monsters/8.webp,悪の心と鋭いツノを持ったウサギのモンスター。チカラをためその額のツノで攻撃してくる。,アグレッシブな性格だがさみしい夜は仲間同士身を寄せ合って寝ている意外とかわいらしい一面も。,"2026-03-12 13:29:58","2026-08-03 12:10:41"
9,9,ファーラット,ファーラット,Feralball,2,0,,https://www.d-quest-10.com/detail/a00247.html,/storage/images/monsters/9.webp,全身緑色の毛が生えた小型のモンスター。丸い身体を回転させながら攻撃をしかけてくる。,おくびょうな性格の持ち主でいつも草木にまぎれている。道行く旅人に気づかれずうっかり踏まれることも。,"2026-03-12 13:30:01","2026-08-03 12:10:41"
10,10,さそりばち,サソリバチ,Waspion,5,0,,https://www.d-quest-10.com/detail/a00112.html,/storage/images/monsters/10.webp,獲物を求めて飛びまわる巨大なハチのモンスター。さそりを思わせるしっぽの針で襲いかかる。,さそりと名前に入っているが別に毒は持っていない。さそりばち本人はそれがコンプレックスのようだ。,"2026-03-12 13:30:04","2026-07-27 15:17:43"
11,11,ドラキー,ドラキー,Dracky,6,0,,https://www.d-quest-10.com/detail/a00200.html,/storage/images/monsters/11.webp,コウモリによく似ている空飛ぶモンスター。攻撃するとひらひらと身をかわされることも。,キャラのかぶっているライバルモーモンの登場で守り続けたナンバー２の座が危ぶまれ気が気でない。,"2026-03-12 13:30:07","2026-07-27 15:17:43"
12,12,メラゴースト,メラゴースト,Firespirit,7,0,,https://www.d-quest-10.com/detail/a00333.html,/storage/images/monsters/12.webp,炎の呪文メラから生まれたたよりない下級霊。ゆらりゆらりとゆらめいて攻撃をかわしてくる。,半人前の魔法使いが唱えた失敗作のメラが燃えつきる時あまりのむなしさに魔物となってしまった……。,"2026-03-12 13:30:10","2026-07-27 15:17:43"
13,13,しましまキャット,シマシマキャット,"Candy Cat",2,0,,https://www.d-quest-10.com/detail/a00133.html,/storage/images/monsters/13.webp,のんびり屋の猫魔族。シマ模様と長いベロは一部に人気があるらしい。毛はフカフカであたたかい。,コイツが顔を洗うと明日は雨が降るというが本当はヒマなので毛づくろいをしているだけ。,"2026-03-12 13:30:13","2026-08-03 12:10:41"
14,14,クックルー,クックルー,Grudgerigar,6,0,,https://www.d-quest-10.com/detail/a00083.html,/storage/images/monsters/14.webp,ルカニで守備力を下げてから鋭いクチバシで襲ってくる。相手が強いと逃げてしまうおくびょうな鳥魔物。,冬が近づくと自慢の羽毛をふわふわにふくらませてからその中に顔をうずめて寒さをしのぐという。,"2026-03-12 13:30:16","2026-07-27 15:17:43"
15,15,おおきづち,オオキヅチ,Hammerhood,8,0,,https://www.d-quest-10.com/detail/a00036.html,/storage/images/monsters/15.webp,身体と同じくらいの大きな木づちに振り回されミスばかりのモンスター。だが油断していると……？,まるで持っている木づちが本体かのように呼ばれるのでオレの存在ってなんなんだ？と自問自答の日々。,"2026-03-12 13:30:19","2026-07-27 15:17:43"
16,16,プチアーノン,プチアーノン,"Khalamari Kid",9,0,,https://www.d-quest-10.com/detail/a00252.html,/storage/images/monsters/16.webp,浜辺でぼんやりしたりらくがきしたりと無邪気に遊ぶイカベビー。あたたかい目で見守ろう。,プチアーノンのらくがきは前衛的なアートと賞賛されコレクターたちの間で高値で取り引きされるとか。,"2026-03-12 13:30:24","2026-07-27 15:17:43"
17,17,ねこまどう,ネコマドウ,Meowgician,2,0,,https://www.d-quest-10.com/detail/a00218.html,/storage/images/monsters/17.webp,黄色のローブに身を包みメラを唱える化けネコ。相手が強いとしっぽを巻いて逃げだしてしまうことも。,いついかなるときでも顔を洗って自慢のヒゲを整えるのに余念がない。身だしなみは大切なのニャ！,"2026-03-12 13:30:26","2026-08-03 12:10:41"
18,18,オニオーン,オニオーン,"Ornery Onion",3,0,,https://www.d-quest-10.com/detail/a00041.html,/storage/images/monsters/18.webp,大きなタマネギに手足が生えたモンスター。見た目によらずかしこくやくそうでキズを治す。,オニオーンのことをうっかりタマネギと呼ぶと生焼けタマネギを食べる呪いにかけられるらしい。,"2026-03-12 13:30:30","2026-07-27 15:17:43"
19,19,ゴースト,ゴースト,Ghost,10,0,,https://www.d-quest-10.com/detail/a00099.html,/storage/images/monsters/19.webp,いきなり現れて旅人をおどろかせるが戦闘に入ると逃げだすおくびょうな幽霊。,陽気でキレ者のゴーストはわらいぶくろの代わりにギャグを考案してやるゴーストライターらしい。,"2026-03-12 13:30:33","2026-07-27 15:17:43"
20,20,スライムつむり,スライムツムリ,"Shell Slime",1,0,,https://www.d-quest-10.com/detail/a00153.html,/storage/images/monsters/20.webp,かたいカラをかぶってぷるぷるボディを守りぬくはずかしがり屋のスライム。カラの下からヒャドをはなつ。,スライムつむりがのたのたと通った後には緑色のネバネバが線を引いて残っている……。,"2026-03-12 13:30:36","2026-07-27 15:17:43"
21,21,キラースコップ,キラースコップ,"Mad Mole",2,0,,https://www.d-quest-10.com/detail/a00071.html,/storage/images/monsters/21.webp,チカラをためて襲いかかるパワフルなモンスター。愛用のスコップは毎晩みがきあげている。,旅人を襲うかたわらで洞くつを掘る工事現場によく駆りだされている。仕事のあとの一杯は格別。,"2026-03-12 13:30:39","2026-08-03 12:10:41"
22,22,みならいあくま,ミナライアクマ,Winkster,4,0,,https://www.d-quest-10.com/detail/a00320.html,/storage/images/monsters/22.webp,呪文を覚えはじめたばかりのまだまだ青いビギナー悪魔。呪文を使えるのがうれしくてメラをうちまくってくる。,毎日寝る間をおしんで呪文の勉強をしている。彼のひそかな努力を知る者はめったにいないだろう。,"2026-03-12 13:30:42","2026-08-03 12:09:04"
