id,name,name_kana,name_en,color,effect,created_at,updated_at
1,不屈の闘志,ふくつのとうし,Indomitable Spirit,炎,さいだいHP上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
2,深淵なる叡智,しんえんなるえいち,Refined Mind,炎,さいだいMP上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
3,武神の豪腕,ぶしんのごうわん,Strong Arm,炎,ちから上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
4,鋼鉄の肉体,こうてつのにくたい,Thick Skinned,炎,みのまもり上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
5,大賢者の御手,だいけんじゃのみて,Sage's Spirit,炎,こうげき魔力上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
6,いつくしむ心,いつくしむこころ,Merciful Heart,炎,かいふく魔力上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
7,韋駄天の足,いだてんのあし,Fleet Feet,炎,すばやさ上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
8,神業の手,かみわざのて,Masterful Hand,炎,きようさ上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
9,ふんばり魂,ふんばりだましい,Firm Footed,炎,おもさ上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
10,戦場のヴィーナス,せんじょうのびーなす,Battlefield Venus,炎,みりょく上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
11,魔術の深淵,まじゅつのしんえん,Arcane Abyss,炎,こうげき魔力・かいふく魔力上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
12,会心練磨,かいしんれんま,Critical Faculties,炎,会心率と呪文暴走率上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
13,先見の眼,せんけんのめ,Foreseer's Eye,炎,身かわし率上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
14,堅守の心得,けんしゅのこころえ,Defender's Discipline,炎,盾ガード率上昇,2026-03-12 12:56:22,2026-03-31 14:36:47
15,鉄壁の炎耐性,てっぺきのほのおたいせい,Ironclad Fire Resistance,炎,炎属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
16,鉄壁の氷耐性,てっぺきのこおりたいせい,Ironclad Ice Resistance,炎,氷属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
17,鉄壁の風耐性,てっぺきのかぜたいせい,Ironclad Wind Resistance,炎,風属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
18,鉄壁の雷耐性,てっぺきのかみなりたいせい,Ironclad Lightning Resistance,炎,雷属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
19,鉄壁の土耐性,てっぺきのつちたいせい,Ironclad Earth Resistance,炎,土属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
20,鉄壁の闇耐性,てっぺきのやみたいせい,Ironclad Dark Resistance,炎,闇属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
21,鉄壁の光耐性,てっぺきのひかりたいせい,Ironclad Light Resistance,炎,光属性のダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
22,鉄壁の攻撃呪文耐性,てっぺきのこうげきじゅもんたいせい,Ironclad Offensive Spell Resistance,炎,呪文ダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
23,鉄壁のブレス耐性,てっぺきのぶれすたいせい,Ironclad Breath Resistance,炎,ブレスダメージ減,2026-03-12 12:56:22,2026-03-31 14:36:47
24,不滅のテンション,ふめつのてんしょん,Undying Tension,水,死亡時、たまに【テンションアップ】が消えない,2026-03-12 12:56:23,2026-03-31 14:36:47
25,不滅の攻撃力アップ,ふめつのこうげきりょくあっぷ,Undying Attack Up,水,死亡時、たまに【攻撃力上昇】が消えない,2026-03-12 12:56:23,2026-03-31 14:36:47
26,不滅の攻撃呪文強化,ふめつのこうげきじゅもんきょうか,Undying Offensive Spell Boost,水,死亡時、たまに【攻撃呪文強化】が消えない（Ver.7.1まではLv1につき3%）,2026-03-12 12:56:23,2026-03-31 14:36:47
27,不滅の回復呪文強化,ふめつのかいふくじゅもんきょうか,Undying Healing Spell Boost,水,死亡時、たまに【回復呪文強化】が消えない,2026-03-12 12:56:23,2026-03-31 14:36:47
28,不滅の早詠み,ふめつのはやよみ,Undying Fast Chant,水,死亡時、たまに【詠唱時間短縮】が消えない（Ver.7.1まではLv1につき3%）,2026-03-12 12:56:23,2026-03-31 14:36:47
29,不滅の呪文ダメージ限界突破,ふめつのじゅもんだめーじげんかいとっぱ,Undying Spell Damage Cap Break,水,死亡時、たまに【呪文ダメージ限界突破】が消えない魔使専用,2026-03-12 12:56:23,2026-03-31 14:36:47
30,不滅の魅惑の水晶球,ふめつのみわくのすいしょうきゅう,Undying Alluring Crystal Ball,水,死亡時、たまに【魅惑の水晶球】が消えない占い師専用,2026-03-12 12:56:23,2026-03-31 14:36:47
31,鉄壁のマヒガード,てっぺきのまひがーど,Ironclad Paralysis Guard,水,マヒガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
32,鉄壁の眠りガード,てっぺきのねむりがーど,Ironclad Sleep Guard,水,眠りガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
33,鉄壁の混乱ガード,てっぺきのこんらんがーど,Ironclad Confusion Guard,水,混乱ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
34,鉄壁の即死ガード,てっぺきのそくしがーど,Ironclad Instant Death Guard,水,即死ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
35,鉄壁のどくガード,てっぺきのどくがーど,Ironclad Poison Guard,水,毒ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
36,鉄壁の封印ガード,てっぺきのふういんがーど,Ironclad Seal Guard,水,封印ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
37,鉄壁の幻惑ガード,てっぺきのげんわくがーど,Ironclad Dazzle Guard,水,幻惑ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
38,鉄壁の転びガード,てっぺきのころびがーど,Ironclad Stumble Guard,水,転びガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
39,鉄壁のおびえガード,てっぺきのおびえがーど,Ironclad Terror Guard,水,おびえガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
40,鉄壁のしばりガード,てっぺきのしばりがーど,Ironclad Bind Guard,水,しばりガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
41,鉄壁の踊りガード,てっぺきのおどりがーど,Ironclad Dance Guard,水,踊らされガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
42,鉄壁の笑いガード,てっぺきのわらいがーど,Ironclad Laughter Guard,水,笑いガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
43,鉄壁の魅了ガード,てっぺきのみりょうがーど,Ironclad Charm Guard,水,魅了ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
44,鉄壁の呪いガード,てっぺきののろいがーど,Ironclad Curse Guard,水,呪いガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
45,鉄壁のMP吸収ガード,てっぺきのえむぴーきゅうしゅうがーど,Ironclad MP Drain Guard,水,MP吸収ガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
46,鉄壁のみとれガード,てっぺきのみとれがーど,Ironclad Beguile Guard,水,みとれガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
47,鉄壁のはどうガード,てっぺきのはどうがーど,Ironclad Disruption Guard,水,はどうガード上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
48,鉄壁の会心完全ガード,てっぺきのかいしんかんぜんがーど,Ironclad Critical Block,水,たまに痛恨の一撃・呪文暴走を無効化,2026-03-12 12:56:23,2026-03-31 14:36:47
49,鉄壁のふっとびガード,てっぺきのふっとびがーど,Ironclad Blow-Away Guard,水,ふっとびガード上昇（Ver.5.1まではLv1につき1%）,2026-03-12 12:56:23,2026-03-31 14:36:47
50,鉄壁の各弱体系耐性,てっぺきのかくじゃくたいけいたいせい,Ironclad Debuff Resistance,水,各弱体系耐性上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
51,ホイミ系呪文の奇跡,ほいみけいじゅもんのきせき,Heal Spells Miracle,水,【ホイミ系】呪文の回復量上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
52,ザオの戦域,ざおのせんいき,Zin Beat,水,【ザオ】の射程距離延長,2026-03-12 12:56:23,2026-03-31 14:36:47
53,ザオラルとザオリクの戦域,ざおらるとざおりくのせんいき,Zing and Kazing Beat,水,【ザオラル】【ザオリク】の射程距離延長,2026-03-12 12:56:23,2026-03-31 14:36:47
54,ヘナトス系の技巧,へなとすけいのぎこう,Blunt Knack,水,【ヘナトス】【ヘナトール】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
55,ルカニ系呪文の技巧,るかにけいじゅもんのぎこう,Sap Knack,水,【ルカニ】【ルカナン】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
56,ボミエ系呪文の技巧,ぼみえけいじゅもんのぎこう,Decelerate Knack,水,【ボミエ】【ボミオス】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
57,ディバインスペルの技巧,でぃばいんすぺるのぎこう,Anathematise Knack,水,【ディバインスペル】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
58,ラリホー系呪文の技巧,らりほーけいじゅもんのぎこう,Snooze Knack,水,【ラリホー】【ラリホーマ】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
59,メダパニ系呪文の技巧,めだぱにけいじゅもんのぎこう,Fuddle Knack,水,【メダパニ】【メダパニーマ】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
60,マホトーンの技巧,まほとーんのぎこう,Fizzle Knack,水,【マホトーン】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
61,マヌーサの技巧,まぬーさのぎこう,Dazzle Knack,水,【マヌーサ】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
62,ヴェレ系の技巧,べれけいのぎこう,Tox Knack,水,【ヴェレ】【ヴェレーノ】【ヴェレノーマ】の成功率上昇,2026-03-12 12:56:23,2026-03-31 14:36:47
63,ルカニの盾,るかにのたて,Sap Shield,水,武器・盾ガード時、たまに攻撃した敵に【守備力低下】1段階（Ver.5.1まではLv1につき2%）,2026-03-12 12:56:23,2026-03-31 14:36:47
64,ヘナトスの盾,へなとすのたて,Blunt Shield,水,武器・盾ガード時、たまに攻撃した敵に【攻撃力低下】1段階（Ver.5.1まではLv1につき2%）,2026-03-12 12:56:23,2026-03-31 14:36:47
65,ぶきみなひかりの盾,ぶきみなひかりのたて,Eerie Light Shield,水,武器・盾ガード時、たまに攻撃した敵に【呪文耐性低下】1段階,2026-03-12 12:56:23,2026-03-31 14:36:47
66,復活のHP回復量アップ,ふっかつのえいちぴーかいふくりょうあっぷ,Revival HP Recovery Up,水,自分が蘇生されたときのHP回復量が最大HPの一定割合分増える,2026-03-12 12:56:23,2026-03-31 14:36:47
67,忍耐のMP回復,にんたいのえむぴーかいふく,Patient MP Recovery,水,ダメージを受けた時、確率（上段）でそのダメージの一定割合（下段）分MPが回復,2026-03-12 12:56:23,2026-03-31 14:36:47
