id,monster_name,normal_drop,rare_drop,trivia_1,trivia_2,source_filename
941,若葉の精霊,しなやかな枝,特やくそう,世界樹を守る役目を持つおおらかな性格の精霊。枯れかけた世界樹を救うため自らのチカラを使い果たした。,世界樹を守るのがオリの使命。力の試練を手伝っていたのは平和な世の中が続いてヒマしてたからなのダワ。,941.webp
942,黒き花婿,まほうの小ビン,ブラックパール,花嫁を失い 悲しみの果てに命を落とした若者 レグが黒いチカラに取り込まれ魔物と化してしまった姿。,ダーリアと結婚した後は来光の浜に新居を建てて妻と子供と暮らしながら白い犬を飼うのが夢だった。,942.webp
943,大怨霊マアモン,ふしぎなドロドロ,パープルアイ,悪しき欲望に取り憑かれたドワーフたちの怨念の塊。魔瘴のチカラで封印が解け現代に よみがえった。,かつてアグラニの名士だったマアモンという男の怨念が代表してしゃべっているためこう名乗るようになった。,943.webp
944,狂鬼ジーガンフ,まほうの小ビン,ぶどうエキス,怒りのあまりに我を忘れ悪鬼の手に落ちた チャンプ。手に入れた邪悪なチカラで超人的な技を くりだす。,悪鬼ゾンガロンに操られた時魔物のように暴れてしまったが誰からも責められなかった。そのことに深く感謝している。,944.webp
945,やみわらし,まほうの小ビン,ウルベア銀貨,魔瘴から生まれる謎多き 魔物の群れ。聖なる光を嫌い邪悪な闇を欲する。,獲物を見れば容赦なく襲いただ本能のままに動く。彼らは眠ることなく闇を求めてさまよい続ける。,945.webp
946,妖剣士オーレン,まほうのせいすい,せかいじゅの葉,ベコン渓谷の洞くつの奥でガイコツたちと眠る 妖剣士。レムルの聖杯に強く執着し死んだ後も守り続けていた。,オーレンの操る双剣は大ぶりの物を牙王丸 小さい方を竜斬刀という。知る人ぞ知る名剣である。,946.webp
947,怪獣プスゴン,花のみつ,ピンクパール,スイの塔のてっぺんにスウィートルームを築いていたファンシー好きの怪獣。心からハニーを愛する。,棲みかを捨て 役目を捨て熱い想いだけを胸に抱きヤツは去っていった。怪獣プスゴン どこへ行く…。,947.webp
948,水竜ギルギッシュ,大きなうろこ,せかいじゅの葉,ランドン山脈頂上の雲上湖に生息する 巨大な竜。凶暴な性格で これまで幾度も湖を訪れた者の命をうばった。,永遠の命を持つとウワサされる ギルギッシュ。グロリスの木との関係を知る者はほとんどいない。,948.webp
949,ウルベア魔神兵,ほしのカケラ,レッドアイ,太古の昔に製造されたウルベア帝国の戦闘兵器。数千年の時を経た今でも使命を忘れず 活動する。,戦闘兵器でありながら じつは棺の役割も果たしている。大昔のドワーフたちは死後の復活を信じていた。,949.webp
950,悪魔ザイガス,まほうのせいすい,げんませき,15年前にアルウェと契約を結び プクリポの子供を殺すために現れたが団長の活躍により失敗した。,プクリポの子供を喰らい魔力を増やす性質を持つ。喰えば喰うほど 強くなり最後は大悪魔となるのだ。,950.webp
